state,year,spircons,unrate,perinc,emppop,beertax,sobapt,mormon,mlda,dry,yngdrv,vmiles,breath,jaild,comserd,allmort,mrall,allnite,mralln,allsvn,a1517,mra1517,a1517n,mra1517n,a1820,a1820n,mra1820,mra1820n,a2124,mra2124,a2124n,mra2124n,aidall,mraidall,pop,pop1517,pop1820,pop2124,miles,unus,epopus,gspch,stabrv,region,reg,fatal,fatal1517,fatal1820,fatal2124,fatal1517n,fatal1820n,fatal2124n,perincK
AZ,1985,1.86,6.5,13726.695,58.648533,.38135594,3.7562001,4.6597099,21,0,.188428,6771.2627,0,1,1,893,.000280201,150,.000047066202,75,48,.00034285701,11,.000078571,100,26,.0006256568,.00016267078,121,.00055,30,.000136364,225.82401,.000070857997,3186998,140000.06,159832.03,220000,21580,7.1999998,60.100002,.078195602,AZ,W,W,2.8020101,3.42857,6.256568,5.5,.78570998,1.6267078,1.3636401,13.726695
AZ,1986,1.78,6.9000001,14107.327,60.280182,.37151703,3.691,4.5763202,21,0,.17153899,8129.0078,0,1,1,1007,.00030710601,173,.000052759999,85,72,.00048648601,19,.000128378,104,30,.00064596272,.0001863354,130,.000616114,25,.000118483,242.827,.000074055002,3278998,148000.14,161000,210999.91,26655,7,60.700001,.067712516,AZ,W,W,3.0710599,4.8648601,6.4596272,6.16114,1.28378,1.863354,1.1848301,14.107327
AZ,1987,1.72,6.1999998,14241,60.215057,.36000001,3.6269,4.4944201,21,0,.168724,9370.6543,0,1,1,937,.00027672801,172,.0000507974,87,50,.00033556999,16,.000107383,99,25,.00061111001,.00015432099,121,.00057075499,34,.00016037701,241.78,.000071406001,3385996.3,149000.22,162000.3,211999.91,31729,6.1999998,61.5,.064111322,AZ,W,W,2.7672801,3.3556998,6.1111002,5.70755,1.07383,1.5432099,1.60377,14.241
AZ,1988,1.6799999,6.3000002,14408.085,60.497665,.34648702,3.5639999,4.41399,21,0,.16100501,9815.7207,0,1,1,944,.00027056501,136,.000038979699,67,54,.000364865,14,.000094595001,100,14,.00063694001,.000089171997,116,.00053210999,31,.000142202,238.23399,.000068280999,3488995,147999.94,157000.66,218000.05,34247,5.5,62.300003,.026567843,AZ,W,W,2.7056501,3.6486499,6.3694,5.3210998,.94595003,.89172,1.42202,14.408085
AR,1982,1.1900001,9.8000002,10267.303,54.475857,.65035802,22.967199,.32828999,21,36.712799,.20490301,7208.5005,0,0,0,550,.000238405,102,.000044213299,64,36,.00029508199,5,.000040983999,62,24,.00051125797,.00019790629,61,.000388535,18,.00011465,271.45901,.000117668,2306998.5,121999.99,121269.5,157000.02,16630,9.6999998,57.799999,-.034733824,AR,S,S,2.3840501,2.95082,5.1125798,3.88535,.40983999,1.9790629,1.1465,10.267303
AR,1983,1.2,10.1,10433.486,53.814793,.67545873,23.0009,.34340999,21,36.430099,.194169,7175.917,0,0,0,557,.00023957,88,.000037849499,47,35,.00029661,2,.000016948999,65,19,.00053853373,.00015741755,73,.00045911901,22,.00013836499,247.85699,.000106605,2324999,118000.07,120698.1,159000.17,16684,9.6000004,57.900002,.040144395,AR,S,S,2.3957,2.9661,5.3853374,4.5911899,.16948999,1.5741756,1.3836499,10.433486
AR,1984,1.22,8.8999996,10916.483,54.67128,.59890109,23.034599,.35924,21,36.104,.18638,7084.8198,0,0,0,525,.000223785,81,.0000345269,48,34,.00029565199,2,.000017390999,72,24,.00059935375,.00019978457,67,.00041358001,18,.000111111,182.707,.000077880002,2346001.8,115000.07,120129.39,162000.09,16621,7.5,59.500004,.083597317,AR,S,S,2.23785,2.9565198,5.9935374,4.1357999,.17390999,1.9978456,1.1111101,10.916483
AR,1985,1.12,8.6999998,11149.364,54.977119,.57733053,23.068399,.37579,21,35.904999,.189292,7253.918,0,0,0,534,.000226367,73,.000030945299,43,45,.00039823001,7,.000061947001,56,13,.00046837088,.00010872896,57,.00035403701,19,.000118012,198.15401,.000083999003,2359001,113000.02,119563.37,161000.13,17112,7.1999998,60.100002,.0046021789,AR,S,S,2.26367,3.9823,4.6837087,3.54037,.61947,1.0872896,1.18012,11.149364
AR,1986,.92000002,8.6999998,11399.381,55.561863,.56243551,23.1022,.39311001,21,39.569599,.161957,7468.999,0,0,0,603,.00025432301,108,.000045550401,67,48,.00041739101,7,.000060869999,66,22,.00055462186,.00018487395,78,.00053793099,22,.000151724,237.517,.000100176,2371000.5,115000.08,119000,145000.02,17709,7,60.700001,.029769236,AR,S,S,2.5432301,4.1739101,5.5462184,5.3793097,.60869998,1.8487395,1.51724,11.399381
AR,1987,1.01,8.1000004,11537,56.330894,.54500002,23.136101,.41123,21,39.287899,.164132,7665.8306,0,0,0,639,.00026758801,110,.000046063698,61,58,.00050000002,15,.00012931001,72,19,.00061538001,.000162393,65,.00045774601,17,.000119718,221.905,.000092925002,2387999.5,115999.99,117000.88,142000.14,18306,6.1999998,61.5,.0019300312,AR,S,S,2.6758802,5,6.1538,4.5774603,1.2931001,1.62393,1.19718,11.537
AR,1988,.99000001,7.6999998,11760.347,57.366951,.52454287,23.17,.43018001,21,39.287899,.167541,8024.6255,0,0,0,610,.00025469699,86,.000035908099,55,41,.00035964901,6,.000052632,61,16,.00055454997,.00014545499,69,.00047260299,21,.00014383601,208.85001,.000087200999,2395002.8,114000.03,109999.1,145999.92,19219,5.5,62.300003,.033733506,AR,S,S,2.5469699,3.5964901,5.5454998,4.7260299,.52631998,1.4545499,1.4383601,11.760346
CA,1982,2.21,9.8999996,15797.136,59.51593,.10739857,1.7230999,1.67854,21,0,.19019599,6858.6768,0,0,0,4615,.000186194,944,.000038086,553,241,.000208297,61,.000052723,567,161,.00042921887,.00012187696,758,.00040042301,249,.000131537,1379.13,.000055641001,24785976,1157001.8,1321004.4,1892998.1,169999,9.6999998,57.799999,-.011686022,CA,W,W,1.8619399,2.0829699,4.2921886,4.00423,.52723002,1.2187697,1.3153701,15.797135
CA,1983,2.1500001,9.6999998,15970.184,59.252335,.10321102,1.7347,1.66792,21,0,.183569,7216.2915,0,0,0,4573,.000180672,856,.000033819299,487,232,.000206039,39,.000034635999,513,141,.00039164396,.00010764483,702,.00037221599,206,.000109226,1251.6,.000049449001,25311062,1126000.5,1309863.1,1886001.8,182652,9.6000004,57.900002,.053036682,CA,W,W,1.8067199,2.06039,3.9164395,3.7221599,.34636,1.0764483,1.09226,15.970183
CA,1984,2.0699999,7.8000002,16590.109,60.698257,.0989011,1.7464,1.65736,21,0,.17413101,7619.1758,0,0,0,5020,.000194611,957,.000037100199,559,267,.00024162899,68,.000061537998,593,177,.00045656972,.00013627797,770,.00041088599,215,.000114728,1421.8199,.000055119999,25795048,1104999.9,1298815.9,1873999.1,196537,7.5,59.500004,.072460994,CA,W,W,1.94611,2.41629,4.5656972,4.10886,.61537999,1.3627797,1.14728,16.590109
CA,1985,1.97,7.1999998,16985.17,61.331707,.095338985,1.7582,1.64687,21,0,.167896,7874.0669,0,0,0,4960,.000188128,887,.0000336431,499,302,.00027305601,65,.000058770001,545,139,.00042318206,.00010793084,762,.000410782,226,.000121833,1243.92,.000047181002,26365028,1106000.3,1287861.8,1854998.5,207600,7.1999998,60.100002,.048330504,CA,W,W,1.8812801,2.7305601,4.2318206,4.10782,.58770001,1.0793084,1.21833,16.98517
CA,1986,1.85,6.6999998,17356.037,62.008469,.092879258,1.7701,1.63644,21,0,.164371,8034.9102,0,0,0,5253,.000194548,880,.000032591401,510,318,.000271331,62,.000052900999,571,141,.00044714173,.00011041504,757,.00042841001,185,.000104697,1309.91,.000048513,27001048,1172000.3,1277000,1766998.9,216951,7,60.700001,.04668143,CA,W,W,1.94548,2.71331,4.4714174,4.2841001,.52901,1.1041504,1.04697,17.356037
CA,1987,1.78,5.8000002,17846,63.074295,.090000004,1.7821,1.62608,21,0,.16068199,8180.6333,0,0,0,5504,.00019896599,944,.000034125002,531,302,.00025967299,50,.000042992,601,137,.00047396999,.000108044,717,.00040878,199,.000113455,1431.5699,.000051750001,27663018,1163001.3,1268012.8,1753999.8,226301,6.1999998,61.5,.069736347,CA,W,W,1.9896599,2.59673,4.7396998,4.0878,.42991999,1.0804399,1.13455,17.846001
CA,1988,1.72,5.3000002,18049.086,63.783657,.086621754,1.7941,1.61578,21,0,.148684,8531.9902,0,,,5390,.000190365,936,.000033057899,541,246,.000218279,48,.000042591,583,144,.00047475999,.000117264,702,.00039661,197,.000111299,1246.71,.000044032,28314028,1126998,1227988.9,1770000.8,241575.02,5.5,62.300003,.04902038,CA,W,W,1.9036499,2.18279,4.7476001,3.9661,.42591,1.17264,1.11299,18.049086
CO,1982,2.25,7.6999998,15082.339,64.966736,.21479714,2.3,1.82301,21,.113151,.229148,7742.8418,0,0,1,668,.000217448,140,.000045572899,96,27,.000188811,5,.000034965,91,36,.00053543004,.00021181848,100,.000406504,35,.000142276,219.75,.000071535003,3071998.8,143000.14,169956.84,246000.05,23786,9.6999998,57.799999,.012043049,CO,W,W,2.17448,1.88811,5.3543005,4.0650401,.34965,2.1181848,1.42276,15.082339
CO,1983,2.1500001,6.5999999,15131.881,67.300217,.20642203,2.3,1.83462,21,.090821996,.20765799,7656.063,1,0,1,646,.000205144,146,.000046363901,92,44,.00031428601,12,.000085713997,68,20,.00040555376,.00011928052,98,.00040329201,30,.00012345699,217.35001,.000069021,3149007.5,139999.88,167671.97,243000.11,24109,9.6000004,57.900002,.029179398,CO,W,W,2.05144,3.1428602,4.0555377,4.0329199,.85713995,1.1928052,1.2345699,15.131881
CO,1984,2.1500001,5.5999999,15486.813,68.662422,.1978022,2.3,1.84631,21,.075861998,.192155,7707.8525,1,0,1,608,.00019059599,104,.0000326019,73,53,.00038686101,14,.00010219,71,14,.00042921616,.000084634172,101,.00042259399,28,.000117155,202.94,.000063617998,3189993.5,137000.11,165417.81,239000.08,24588,7.5,59.500004,.055347241,CO,W,W,1.90596,3.8686101,4.2921615,4.2259398,1.0219001,.84634173,1.17155,15.486814
CO,1985,2.05,5.9000001,15569.915,67.854149,.19067797,2.3,1.85808,21,.074899003,.192028,8092.2095,1,0,1,579,.000179201,96,.000029712201,63,35,.00025547401,7,.000051095001,58,16,.00035540533,.000098042845,100,.00042918499,28,.000120172,186.73,.000057793,3231008.8,137000.23,163193.95,232999.77,26146,7.1999998,60.100002,.024307648,CO,W,W,1.7920099,2.55474,3.5540533,4.2918501,.51095003,.98042846,1.20172,15.569915
CO,1986,1.8099999,7.4000001,15616.099,64.983444,.18575852,2.3,1.86991,21,.074097,.1921,8131.3745,1,0,1,603,.00018463,116,.0000355175,75,50,.000340136,9,.000061223996,76,18,.00047204969,.00011180124,101,.00045701399,37,.00016742101,175.37,.000053696,3265991.5,147000.02,161000,220999.8,26557,7,60.700001,.016526096,CO,W,W,1.8463,3.40136,4.7204971,4.5701399,.61223996,1.1180124,1.6742101,15.616098
CO,1987,1.78,7.6999998,15605,64.2183,.18000001,2.3,1.88183,21,.05807,.19299901,8182.0278,1,0,1,591,.000179308,90,.000027305799,64,42,.00029166701,7,.000048611,54,16,.00034395,.000101911,59,.00027314801,16,.000074074,140.25999,.000042553002,3296004.5,143999.83,156999.56,216000.11,26968,6.1999998,61.5,-.023582309,CO,W,W,1.79308,2.9166701,3.4395001,2.7314801,.48611,1.01911,.74074,15.605
CO,1988,1.74,6.4000001,15845.043,65.304451,.17324351,2.3,1.89382,21,.05807,.18026,8380.7686,1,0,1,497,.00015055999,93,.000028173299,66,33,.000242647,6,.000044117998,44,16,.00029530001,.000107383,69,.00033014399,23,.000110048,132.95,.000040276998,3301009.8,136000.03,149001.02,208999.72,27664.998,5.5,62.300003,.0086260457,CO,W,W,1.5056,2.42647,2.9530001,3.3014398,.44117999,1.07383,1.10048,15.845043
CT,1982,2.4200001,6.9000001,17255.369,61.72942,.22434367,.1,.23331,18.5,.227055,.19284099,6440.0537,0,0,0,515,.000164695,158,.000050527698,90,39,.00022941201,8,.000047058998,86,35,.0005298825,.00021564985,96,.00044444401,42,.000194444,195.11,.000062395004,3126992.5,169999.83,162300.14,216000.2,20138,9.6999998,57.799999,-.0029880062,CT,E,E,1.64695,2.2941201,5.2988248,4.4444404,.47059,2.1564984,1.94444,17.255369
CT,1983,2.46,6,17744.266,62.294407,.23356308,.1,.25198001,19.25,.082803003,.18934999,6570.043,0,0,0,438,.00013949,118,.000037579601,85,29,.00017682899,11,.000067073001,61,28,.00038019617,.00017451627,87,.00040277801,31,.00014351901,171.22,.000054528002,3140010,164000.25,160443.48,215999.88,20630,9.6000004,57.900002,.073626325,CT,E,E,1.3949001,1.7682899,3.8019617,4.0277801,.67072999,1.7451627,1.4351901,17.744267
CT,1984,2.4100001,4.5999999,18760.439,65.034683,.24801099,.1,.27215999,20,.080633998,.181857,6680.1929,0,0,0,469,.00014865299,126,.0000399366,85,32,.00020125799,6,.000037736001,65,25,.0004098152,.00015762124,81,.000375,30,.00013888899,171.7,.000054420001,3154998.8,158999.89,158608.08,216000,21076,7.5,59.500004,.077820003,CT,E,E,1.4865299,2.0125799,4.0981522,3.75,.37736002,1.5762124,1.3888899,18.760439
CT,1985,2.4100001,4.9000001,19312.5,65.910927,.2390784,.1,.29394999,20.33,.080150999,.178947,6979.2148,0,1,1,448,.000141147,103,.0000324512,71,35,.000225806,1,6.4520000e-06,53,15,.00033802388,.000095667136,64,.000296296,24,.000111111,150.75,.000047494999,3173996,155000.31,156793.66,216000.22,22152,7.1999998,60.100002,.050584491,CT,E,E,1.4114701,2.25806,3.3802388,2.96296,.064520001,.95667136,1.1111101,19.3125
CT,1986,2.3099999,3.8,20152.734,67.242767,.23291023,.1,.31748,21,.079861999,.17166901,7661.7446,0,1,1,450,.000140933,114,.000035703099,63,37,.000243421,11,.000072367999,56,14,.00036129032,.000090322581,63,.00031500001,26,.00013,145.75,.000045648001,3193006.5,152000.03,155000,200000,24464,7,60.700001,.063690655,CT,E,E,1.40933,2.4342101,3.6129034,3.1500001,.72367996,.90322584,1.3,20.152735
CT,1987,2.25,3.3,21192,67.637672,.22569001,.1,.34290001,21,.080972001,.16600899,8338.5342,0,1,1,449,.000139832,102,.000031765801,61,31,.000212329,3,.000020547999,42,11,.00028000001,.000073333002,69,.00035567,30,.000154639,165.50999,.000051543,3210996,145999.84,150000,194000.06,26775,6.1999998,61.5,.07573688,CT,E,E,1.39832,2.1232901,2.8000002,3.5567,.20547999,.73333001,1.5463899,21.191999
CT,1988,2.1500001,3,22193.455,67.063965,.21721849,.1,.37035,21,.080972001,.157068,8061.2354,0,1,1,484,.000149706,93,.0000287659,62,40,.00029411801,7,.000051471001,57,17,.00039860001,.000118881,76,.00037623799,32,.00015841601,135.42,.000041887,3233003.3,135999.83,143000.5,201999.8,26062,5.5,62.300003,.051211424,CT,E,E,1.4970601,2.9411802,3.9860001,3.7623799,.51471001,1.18881,1.5841601,22.193455
DE,1982,2.5899999,8.5,14263.724,60.310425,.17303102,.69999999,.2,20,0,.205543,7651.6538,1,0,0,122,.00020333299,34,.0000566667,23,5,.00016128999,2,.000064516003,24,9,.00065265456,.00024474546,23,.00047916701,14,.00029166701,45.650002,.000076087003,600001,31000.063,36772.898,47999.965,4591,9.6999998,57.799999,.007968531,DE,E,E,2.03333,1.6128999,6.5265455,4.7916698,.64516002,2.4474547,2.9166701,14.263723
DE,1983,2.6300001,8.1000004,14500,59.86842,.1662844,.69999999,.2,20,0,.19948301,8062.6997,1,0,0,110,.000181518,26,.000042904299,14,8,.00026666699,2,.000066667002,9,3,.00024958982,.00008319661,18,.000375,7,.00014583299,33,.000054454998,606000.5,29999.963,36059.164,48000,4886,9.6000004,57.900002,.056711283,DE,E,E,1.8151799,2.6666698,2.4958982,3.75,.66667002,.8319661,1.4583299,14.5
DE,1984,2.5699999,6.1999998,14925.274,62.41901,.15934065,.69999999,.2,21,0,.19318201,8368.0625,1,0,0,130,.000211726,28,.000045602599,16,8,.000275862,0,0,15,3,.00042421679,.000084843356,17,.000361702,8,.000170213,28.68,.000046704001,614001.13,29000.008,35359.277,47000.016,5138,7.5,59.500004,.052361224,DE,E,E,2.11726,2.75862,4.2421679,3.6170199,0,.84843355,1.70213,14.925275
DE,1985,2.55,5.3000002,15408.898,63.559322,.15360169,.69999999,.2,21,0,.18334199,8625.4248,1,0,0,104,.000167203,21,.000033762099,12,7,.00025000001,2,.000071429,10,2,.00028840904,.000057681806,21,.00044680899,3,.000063829997,38.880001,.00006251,621998.38,27999.998,34672.977,46999.949,5365,7.1999998,60.100002,.037800748,DE,E,E,1.6720301,2.5,2.8840904,4.4680901,.71429002,.57681805,.63829994,15.408898
DE,1986,2.4200001,4.3000002,15822.497,64.583328,.1496388,.69999999,.2,21,0,.177617,9045.8174,1,0,0,136,.00021485001,33,.000052132698,20,10,.000344828,5,.000172414,18,6,.00052941177,.00017647058,22,.00053658499,8,.000195122,45.549999,.000071957002,632999.75,28999.965,34000,41000.027,5726,7,60.700001,.039940491,DE,E,E,2.1485,3.4482801,5.2941179,5.36585,1.72414,1.7647058,1.95122,15.822497
DE,1987,2.3699999,3.2,16407,65.510201,.145,.69999999,.2,21,0,.169047,9450.3076,1,0,0,146,.000226708,27,.000041925501,16,9,.000310345,3,.000103448,9,1,.00026470999,.000029412,24,.00058536598,10,.000243902,41.84,.000064968001,644000.19,28999.984,33999.473,40999.992,6086,6.1999998,61.5,.061463118,DE,E,E,2.2670801,3.1034501,2.6471,5.8536596,1.03448,.29412001,2.4390199,16.407
DE,1988,2.3199999,3.2,16998.074,67.599998,.13955726,.69999999,.2,21,0,.158751,9703.0205,1,0,0,160,.00024242399,32,.000048484799,18,9,.00032142899,1,.000035714002,19,2,.00063333003,.000066667002,20,.00044444401,7,.000155556,42.84,.000064913002,660000.69,27999.963,30000.156,45000.043,6404,5.5,62.300003,.071447544,DE,E,E,2.4242399,3.2142899,6.3333001,4.4444404,.35714,.66667002,1.55556,16.998074
FL,1982,2.51,8.1999998,13502.387,53.487801,1.0739857,9.1526003,.40000001,19,0,.181476,7587.1299,1,0,1,2653,.00025319701,587,.000056022101,282,148,.000310273,35,.000073374998,259,86,.0005263068,.00017475823,350,.00050872099,123,.000178779,810.76001,.000077377001,10478007,476999.28,492108.41,687999.94,79498,9.6999998,57.799999,.0053853965,FL,S,S,2.53197,3.10273,5.2630682,5.0872097,.73374999,1.7475823,1.7877899,13.502387
FL,1983,2.46,8.6000004,13924.312,53.727077,1.1704128,8.9366999,.40000001,19,0,.177945,7604.2544,1,0,1,2686,.000249768,562,.000052259598,291,132,.000282655,30,.000064239997,274,92,.00055103051,.00018501753,317,.00045221101,110,.00015691901,963.90002,.000089631998,10753980,467000.41,497250.16,701000.19,81776,9.6000004,57.900002,.077084795,FL,S,S,2.4976799,2.82655,5.5103049,4.52211,.64239997,1.8501754,1.56919,13.924312
FL,1984,2.3499999,6.3000002,14307.692,55.621029,1.1868132,8.7259998,.40000001,19,0,.17872,7735.3047,1,0,1,2814,.00025466099,566,.000051221701,311,150,.00032679699,29,.000063181003,270,88,.00053737155,.00017514333,344,.00048246799,129,.000180926,744.38,.000067364999,11049985,459000.56,502445.66,713000.69,85475,7.5,59.500004,.08084242,FL,S,S,2.5466099,3.2679698,5.3737154,4.8246799,.63181001,1.7514333,1.80926,14.307693
FL,1985,2.27,6,14760.593,56.368534,1.1440679,8.5201998,.40000001,20,0,.170072,7747.311,1,0,1,2832,.000249164,490,.000043110998,254,146,.00031947499,24,.000052515999,239,79,.00047075472,.00015560511,341,.00047427,101,.000140473,690.20001,.000060725,11366008,456999.78,507695.38,718999.75,88056,7.1999998,60.100002,.059289411,FL,S,S,2.4916401,3.1947498,4.7075472,4.7427001,.52516001,1.5560511,1.40473,14.760592
FL,1986,2.24,5.6999998,15102.167,57.440544,1.1145512,8.3192997,.40000001,21,0,.16255499,7768.7559,1,0,1,2830,.000242004,530,.000045322398,296,173,.00036421101,39,.000082104998,263,92,.00051267055,.00017933724,347,.00051713898,94,.000140089,806.84003,.000068996,11694022,474999.38,513000,670999.5,90848,7,60.700001,.053569589,FL,S,S,2.4200399,3.6421101,5.1267056,5.1713896,.82104999,1.7933724,1.40089,15.102167
FL,1987,2.1700001,5.3000002,15584,58.943348,1.08,8.1231003,.40000001,21,0,.161258,7788.3306,1,0,1,2839,.000236131,493,.0000410047,262,166,.00034368501,32,.000066253,227,75,.00044249999,.000146199,326,.00048656701,94,.000140299,778.96997,.000064790001,12022987,483000.41,512994.34,670000.25,93639,6.1999998,61.5,.062531143,FL,S,S,2.36131,3.4368501,4.4249997,4.8656702,.66253,1.46199,1.40299,15.584
FL,1988,2.0799999,5,15979.788,59.790932,1.039461,7.9316001,.40000001,21,0,.157563,8538.2305,1,0,1,3078,.000249534,573,.000046453199,315,184,.000385744,42,.000088050001,278,73,.00056503998,.00014837401,382,.00054649502,145,.00020743901,794.75,.000064430002,12334992,477000.28,492000.59,698999.94,105319.01,5.5,62.300003,.050752144,FL,S,S,2.4953401,3.85744,5.6503997,5.4649501,.88050002,1.4837401,2.0743902,15.979788
GA,1982,1.9400001,7.8000002,11774.463,60.073441,2.7207637,24.656099,.42640999,19,.49893999,.210264,8623.4443,0,0,0,1229,.000217484,225,.000039816001,132,90,.00029605301,16,.000052632,131,41,.00040450122,.00012659963,161,.00038242299,59,.00014014301,443.23001,.000078434001,5650990.5,303999.63,323855.63,420999.78,48731.004,9.6999998,57.799999,.0060981605,GA,S,S,2.17484,2.96053,4.045012,3.82423,.52631998,1.2659962,1.40143,11.774463
GA,1983,1.99,7.5,12237.386,59.855419,2.6146789,24.3885,.44025999,19,.49991,.206981,8518.5898,0,0,0,1296,.00022606,217,.000037851001,134,97,.00032659899,19,.000063972999,141,45,.00043499543,.00013882833,160,.00037470699,41,.000096019001,389.5,.000067939996,5732991,297000.31,324141.34,427000.31,48837,9.6000004,57.900002,.079037391,GA,S,S,2.2606001,3.26599,4.3499541,3.7470698,.63972998,1.3882833,.96019,12.237386
GA,1984,1.97,6,12957.143,61.211979,2.5054944,24.123899,.45456001,19,.45019001,.205332,8641.9141,0,0,0,1410,.000241356,252,.0000431359,146,124,.000423208,31,.000105802,167,47,.00051475322,.00014487066,168,.00038799099,48,.000110855,436.75,.000074761003,5841993,293000.13,324427.31,432999.75,50486,7.5,59.500004,.10200494,GA,S,S,2.4135599,4.23208,5.147532,3.87991,1.05802,1.4487066,1.10855,12.957143
GA,1985,1.9299999,6.5,13364.407,61.651379,2.4152541,23.862101,.46932,19.25,.43316999,.19492801,8988.1074,0,0,0,1361,.00022774401,198,.000033132499,124,95,.000323129,16,.000054421998,151,37,.00046502528,.00011394659,163,.000371298,38,.000086560001,400.13,.000066956003,5976008,294000.22,324713.53,439000.47,53713,7.1999998,60.100002,.052405592,GA,S,S,2.2774401,3.2312901,4.6502528,3.71298,.54421997,1.1394659,.86559999,13.364408
