firm,year,prod,area,labor,fert
17,1990,10.81,4.0500002,279,286.60001
17,1991,5.98,4.0500002,281,337
17,1992,16.469999,4.0500002,250,536.5
17,1993,17.99,3.55,200,467
17,1994,19.92,3.55,216,414
17,1995,19.73,3.55,232,609.29999
17,1996,10.12,3.55,179,1005.6
17,1997,14.03,3.55,144,445
18,1990,21.07,5.5,306,462
18,1991,18.120001,5.5,286,506
18,1992,21.85,5.5,335,549
18,1993,20.24,5.5,304,569.59998
18,1994,21.07,5.5,381,557.29999
18,1995,26.540001,7,436,845.09998
18,1996,22.719999,7,386,730.20001
18,1997,31.1,7,407,624.90002
19,1990,13.57,4,229,218
19,1991,15.32,4,208,218
19,1992,15.87,4,215,564
19,1993,6.21,4,206,352
19,1994,12.93,4,199,306
19,1995,16,4,217,378.60001
19,1996,6.4400001,4,270,478
19,1997,21.700001,4,192,515.5
20,1990,12.24,3.5,237,260.5
20,1991,13.11,3.5,197,316.60001
20,1992,14.63,3.5,186,526
20,1993,12.42,3.5,175,437.29999
20,1994,12.93,3.5,211,331.5
20,1995,12.37,3.5,224,428.10001
20,1996,11.22,3.5,200,445
20,1997,14.81,3.5,212,391.70001
21,1990,5.1100001,3,103,144.5
21,1991,5.8400002,3.5,129,312
21,1992,10.35,3.5,144,132
21,1993,4.46,3.5,112,106
21,1994,7.8699999,3.5,155,126
21,1995,14.16,3.5,180,260
21,1996,11.27,3.5,140,215.89999
21,1997,9.4300003,3.5,176,199.5
22,1990,5.4299998,1.38,86,100.5
22,1991,4.2800002,1.38,95,100.5
22,1992,5.9299998,1.38,105,100.5
22,1993,6.4400001,1.38,120,99.5
22,1994,3.1300001,1.38,86,131.3
22,1995,3.6800001,1.38,110,140.5
22,1996,3.9100001,1.38,108,170.10001
22,1997,4.5999999,1.38,63,192.5
23,1990,9.6599998,5.5,200,423.5
23,1991,12.88,5.5,204,599.5
23,1992,16.559999,5.5,209,615.5
23,1993,8.2799997,5.5,178,532
23,1994,15.18,5.5,224,540
23,1995,18,5.5,274,745
23,1996,10.58,5.5,291,1030.9
23,1997,19.09,5.5,341,660
24,1990,7.2199998,2.7,122,190.5
24,1991,5.9299998,2.7,92,192.5
24,1992,10.07,2.7,142,234
24,1993,6.5500002,2.7,129,82
24,1994,3.9100001,2.7,139.5,202.8
24,1995,8.6000004,2.7,178,272.39999
24,1996,4.8800001,2.7,134,179.5
24,1997,5.1500001,2.7,180,269
25,1990,12.47,4.5,194,490.5
25,1991,13.75,4.5,152,423.5
25,1992,14.9,4.5,185,427
25,1993,14.86,4.5,174,346.29999
25,1994,8.6000004,4.5,220,577.5
25,1995,12.05,4.5,234,707.79999
25,1996,10.44,4.5,176,335
25,1997,16.049999,4.5,166,267.79999
26,1990,3.1700001,1.1,61,80.900002
26,1991,2.53,1.1,70,67
26,1992,4.3200002,1.1,74,105
26,1993,3.1700001,1.1,71,123
26,1994,4.0900002,1.1,45,121.5
26,1995,4.1399999,1.1,48,131.39999
26,1996,3.22,1.1,43,120.2
26,1997,4.2800002,1.1,42,139.7
27,1990,5.0599999,2.5,117,274.5
27,1991,5.98,2.5,69,155.2
27,1992,8.9200001,2.5,105,332.5
27,1993,3.73,1.3,55,154
27,1994,2.76,1.3,54,87
27,1995,5.1100001,1.3,64,202.89999
27,1996,3.3099999,1.3,67,197
27,1997,9.3400002,2.5,121,188.60001
28,1990,5.52,1.4,78,128.8
28,1991,6.3899999,1.4,76,157
28,1992,6.5300002,1.4,94,123.5
28,1993,5.6599998,1.3,91,191
28,1994,5.29,1.3,77,144
28,1995,5.3800001,1.3,91,172.39999
28,1996,2.53,.5,44,67.800003
28,1997,2.76,.5,41,70.199997
29,1990,4.1399999,2,84,63
29,1991,2.8099999,2,54,67
29,1992,3.04,2,42,42
29,1993,6.9000001,2,80,126
29,1994,3.1700001,2,90,73.5
29,1995,2.6600001,1.5,201,179.5
29,1996,3.6300001,1.5,68,143.89999
29,1997,6.0500002,2,61,174
30,1990,2.6900001,2.5,30,65
30,1991,3.1700001,1.75,42,75.5
30,1992,.87,.40000001,29,10.5
30,1993,1.2,.40000001,26,20
30,1994,1.0599999,.40000001,20,21
30,1995,.94999999,.40000001,16,22.299999
30,1996,1.0599999,.40000001,27,35.700001
30,1997,.090000004,.25,8,13
31,1990,3.8199999,.75,39,44
31,1991,1.79,.75,45,44
31,1992,2.8099999,.75,35,42
31,1993,2.53,.75,72,56
31,1994,2.3499999,.75,33,31.5
31,1995,3.1300001,.75,31,69.800003
31,1996,1.0599999,.75,27,48.099998
31,1997,3.6199999,.75,22,48.099998
32,1990,1.15,.81,25,67
32,1991,2.3,.81,31,67
32,1992,2.8099999,.81,32,54.5
32,1993,3.53,.81,72,69.300003
32,1994,2.3800001,.81,37,67.199997
32,1995,1.51,.61000001,51,70.599998
32,1996,1.84,.61000001,30,90.5
32,1997,6.1599998,.81,43,73.199997
33,1990,5.0599999,1.6,102,110.5
33,1991,5.0599999,1.6,102,120.5
33,1992,4.5500002,1.6,80,102
33,1993,2.3,.60000002,51,41
33,1994,5.1500001,1.4,52,132
33,1995,2.54,.60000002,29,91.300003
33,1996,1.33,.60000002,23,57.599998
33,1997,2.8,.60000002,35,47.700001
34,1990,.69,1,29,21
34,1991,.63999999,1,22,21
34,1992,1.15,1,31,23
34,1993,1.66,1,63,10
34,1994,.60000002,1,18,10.5
34,1995,2,1,46,73.099998
34,1996,1.89,1,48,83.900002
34,1997,1.9299999,1,29,170.3
35,1990,12.65,3,191,306.5
35,1991,7.54,2,89,157.5
35,1992,6.9499998,2,122,105
35,1993,6.4899998,2,121,111
35,1994,5.6100001,2,135,261
35,1995,7.77,2.4000001,153,256
35,1996,8.9099998,2.4000001,146,224.89999
35,1997,10.72,2.4000001,136,216.3
36,1990,2.0699999,1.1,101,125.5
36,1991,3.0799999,1.1,79,102.4
36,1992,2.9400001,1.1,69,67
36,1993,4.8299999,2.0999999,104,165
36,1994,4.8299999,2.0999999,121,133.5
36,1995,4.8299999,2.0999999,92,118
36,1996,3.8199999,2.0999999,89,138.3
36,1997,7.6399999,2.0999999,86,204.39999
37,1990,3.6800001,1,73,113
37,1991,2.3,1,51,115
37,1992,3.27,1,62,68.5
37,1993,2.3,1,59,66
37,1994,1.4299999,1,61,135
37,1995,6.5799999,1,57,3.4000001
37,1996,2.53,1,43,135.7
37,1997,4.23,1,52,109.8
38,1990,5.0599999,1,58,145
38,1991,5.29,1,74,144.5
38,1992,5.52,1,51,194.5
38,1993,5.75,1,59,264
38,1994,3.1700001,1,60,63
38,1995,3.9100001,1,61,121.4
38,1996,2.21,1,43,44
38,1997,3.22,1,54,67.5
39,1990,17.02,4.5999999,246,249
39,1991,13.71,4.5999999,236,262
39,1992,16.24,4.5999999,219,375.5
39,1993,12.17,4.5999999,139,193
39,1994,9.8900003,4.5999999,194,379.5
39,1995,2.9000001,.60000002,37,69.699997
39,1996,2.3499999,.60000002,33,68.199997
39,1997,3.6800001,.60000002,26,73.400002
40,1990,1.38,.80000001,46,33.5
40,1991,.92000002,.80000001,30,33.5
40,1992,1.38,.80000001,27,21
40,1993,1.84,.80000001,34,20
40,1994,1.61,.40000001,22,21
40,1995,1.53,.40000001,20,31.9
40,1996,1.1,.40000001,27,46.099998
40,1997,1.52,.80000001,26,24.4
41,1990,3.96,1.75,113,167.5
41,1991,3.3599999,1.75,99,167.5
41,1992,4,1.75,78,151
41,1993,4.46,1.75,99,151.5
41,1994,4.8299999,1.75,124,150
41,1995,5.1100001,1.75,157,149
41,1996,2.76,1.5,78,156.3
41,1997,5.5,1.75,62,180.89999
42,1990,4.1399999,1.3,80,79.5
42,1991,5.0599999,1.3,70,67
42,1992,5.0599999,1.3,73,68.5
42,1993,3.6800001,1.3,62,30
42,1994,2.3,1.3,50,31.5
42,1995,4.5999999,1.3,74,22.700001
42,1996,2.76,1.3,50,36.5
42,1997,5.29,1.3,52,54.200001
43,1990,8.6000004,2.3,76,109
43,1991,7.6399999,2.3,85,132
43,1992,7.54,2.3,83,161
43,1993,5.1100001,2.3,60,114.9
43,1994,3.5899999,1.65,62,99.800003
43,1995,7.2199998,2.3,126,237
43,1996,4.9699998,2.3,74,157.10001
43,1997,7.6799998,2.3,82,205
44,1990,1.79,1.5,87,94.5
44,1991,1.75,1.5,90,115.5
44,1992,2.71,1,66,70.300003
44,1993,3.3099999,2,67,68
44,1994,5.6100001,2,96,94.5
44,1995,7.7800002,1.75,97,129.39999
44,1996,3.7,1.75,35,107.1
44,1997,7.73,2,82,118.4
